Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-10-21 19:04 (-05),On Demand,Jon Hosking,20,Running,Intervals,20 min Intervals Run,2025-10-21 05:59 (-05),394,,,,7.47,2.50,287,147.10,1.24,8:02
2025-10-21 19:28 (-05),On Demand,Hannah Frankson,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2025-07-16 23:00 (-05),,,,,,,31,93.84,,
2025-10-24 05:05 (-05),On Demand,Selena Samuela,15,Stretching,Mobility,15 min Morning Mobility,2025-10-15 23:00 (-05),,,,,,,35,,,
2025-10-24 14:40 (-05),On Demand,Cody Rigsby,30,Cycling,Music,30 min Britney Spears Ride,2025-06-24 16:24 (-05),271,151,48%,72,18.12,9.06,383,,,
2025-10-24 21:29 (-05),On Demand,Anna Greenberg,5,Meditation,Sleep,5 min Sleep Meditation,2024-07-11 10:00 (-05),,,,,,,,,,
2025-10-25 12:02 (-05),On Demand,Denis Morton,30,Yoga,Flow,30 min Yoga Flow,2025-09-05 06:25 (-05),,,,,,,135,,,
2025-10-26 05:27 (-05),On Demand,Becs Gentry,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2025-06-25 23:00 (-05),,,,,,,30,58.54,,
2025-10-26 05:34 (-05),On Demand,Matt Wilpers,30,Running,Endurance,30 min Progression Run,2025-10-24 08:25 (-05),502,,,,6.61,3.31,366,132.22,0.50,9:05
2025-10-26 06:13 (-05),On Demand,Olivia Amato,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2025-10-22 23:00 (-05),,,,,,,17,73.35,,
2025-10-27 05:58 (-05),On Demand,Adrian Williams,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2025-07-22 23:00 (-05),,,,,,,23,,,
2025-10-28 05:03 (-05),On Demand,Matt Wilpers,30,Running,Endurance,30 min Progression Run,2025-10-24 08:25 (-05),515,,,,6.79,3.39,375,134.80,0.50,8:50
2025-10-28 05:40 (-05),On Demand,Jermaine Johnson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2025-03-12 00:00 (-05),,,,,,,23,,,
